review_id,employee_id,review_year,kpi_score,productivity_score,attendance_score,leadership_score,teamwork_score,final_performance_score,performance_category
179,1082,2022,77.0,72.3,80.7,74.8,76.3,76.4,Meets
180,1082,2023,76.8,78.0,74.5,73.8,78.8,76.4,Meets
181,1082,2024,80.8,83.4,77.9,80.2,82.5,80.9,Meets
182,1083,2022,71.7,78.4,79.7,74.3,78.1,76.0,Meets
183,1083,2023,72.3,72.9,79.3,60.6,72.9,72.2,Needs Improvement
184,1083,2024,90.5,83.1,96.1,86.9,95.5,90.3,Outstanding
185,1084,2023,94.2,87.5,87.6,92.0,98.0,91.8,Outstanding
186,1084,2024,66.9,68.5,73.4,72.2,75.4,70.6,Needs Improvement
187,1085,2024,81.8,85.7,89.0,77.8,87.7,84.3,Meets
188,1086,2022,76.6,77.5,78.1,71.7,82.5,77.2,Meets
189,1086,2023,85.2,73.2,72.5,81.8,77.3,78.6,Meets
190,1086,2024,81.2,85.4,77.5,87.2,84.5,82.7,Meets
191,1087,2024,73.7,76.0,71.9,77.2,72.8,74.2,Needs Improvement
192,1088,2023,89.9,93.7,98.3,98.4,100.0,95.1,Outstanding
193,1088,2024,78.5,83.9,77.5,75.5,74.8,78.4,Meets
194,1089,2022,89.8,83.9,75.6,76.5,86.8,83.3,Meets
195,1089,2023,92.7,84.7,80.2,86.7,89.7,87.2,Exceeds
196,1089,2024,78.0,74.2,75.6,72.0,80.9,76.3,Meets
197,1090,2024,71.4,73.8,72.4,79.1,73.4,73.5,Needs Improvement
198,1091,2022,94.3,88.0,99.4,97.0,93.1,94.3,Outstanding
199,1091,2023,81.2,80.8,84.4,85.5,82.0,82.5,Meets
200,1091,2024,91.0,87.8,94.4,84.5,93.4,90.4,Outstanding
201,1092,2022,76.3,71.6,72.5,82.1,80.5,76.1,Meets
202,1092,2023,80.6,80.1,81.3,76.3,86.6,80.9,Meets
203,1092,2024,82.3,81.9,87.1,79.7,83.2,82.9,Meets
204,1094,2022,86.9,76.4,78.2,86.9,86.9,83.1,Meets
205,1094,2023,75.0,77.6,80.4,73.5,85.7,78.0,Meets
206,1094,2024,75.6,80.5,83.3,72.5,82.6,78.7,Meets
207,1095,2022,90.2,86.8,85.3,90.0,86.7,88.0,Exceeds
208,1095,2023,97.1,94.8,98.1,100.0,100.0,97.7,Outstanding
209,1095,2024,77.1,70.4,73.5,80.1,76.7,75.4,Meets
210,1097,2022,99.6,91.9,97.0,91.5,92.2,95.2,Outstanding
211,1097,2023,87.8,87.6,96.9,82.5,93.0,89.6,Exceeds
212,1097,2024,91.1,96.0,88.8,88.7,90.5,91.2,Outstanding
213,1098,2024,93.1,97.6,91.8,98.1,100.0,95.5,Outstanding
214,1099,2022,81.3,83.1,87.6,76.0,78.5,81.7,Meets
215,1099,2023,69.6,78.0,71.7,74.1,76.8,73.5,Needs Improvement
216,1099,2024,90.4,94.5,90.5,85.0,98.8,91.7,Outstanding
217,1100,2022,74.9,78.1,72.1,80.4,84.6,77.3,Meets
218,1100,2023,89.1,80.4,79.0,82.8,85.8,83.9,Meets
219,1100,2024,88.5,81.5,91.2,89.2,82.2,86.8,Exceeds
220,1101,2023,77.6,78.0,87.4,76.7,76.4,79.3,Meets
221,1101,2024,78.5,70.9,70.8,74.4,78.5,74.8,Needs Improvement
222,1103,2022,79.3,79.7,87.6,73.2,83.7,80.8,Meets
223,1103,2023,72.6,75.4,68.2,77.6,76.5,73.6,Needs Improvement
224,1103,2024,73.4,66.3,63.3,66.4,65.0,67.7,Needs Improvement
225,1104,2022,95.1,91.2,80.3,78.8,92.3,88.5,Exceeds
226,1104,2023,85.8,87.9,98.0,89.8,93.7,90.4,Outstanding
227,1104,2024,100.0,100.0,100.0,94.1,99.8,99.1,Outstanding
228,1106,2022,76.1,76.3,79.5,68.9,84.0,76.9,Meets
229,1106,2023,95.2,92.1,95.1,92.5,91.4,93.6,Outstanding
230,1106,2024,88.7,83.4,77.3,87.2,82.3,84.2,Meets
231,1108,2022,99.8,96.2,85.5,88.3,97.4,94.1,Outstanding
232,1108,2023,88.1,80.0,84.0,90.2,83.3,85.3,Exceeds
233,1108,2024,97.7,86.9,88.9,82.4,87.1,89.9,Exceeds
234,1109,2022,86.1,85.7,91.8,88.5,80.0,86.6,Exceeds
235,1109,2023,81.3,78.5,76.4,72.8,73.4,77.3,Meets
236,1109,2024,69.9,75.5,73.9,76.6,80.9,74.5,Needs Improvement
237,1110,2023,95.6,94.6,94.6,85.4,91.4,93.0,Outstanding
238,1110,2024,92.4,98.9,98.6,91.3,99.4,95.8,Outstanding
239,1111,2022,79.2,83.0,84.4,75.9,90.9,82.3,Meets
240,1111,2023,70.3,72.4,74.5,71.3,71.9,72.0,Needs Improvement
241,1111,2024,66.3,70.1,69.3,61.8,74.9,68.3,Needs Improvement
242,1112,2024,82.1,74.9,81.6,75.3,79.2,79.1,Meets
243,1113,2024,92.6,89.6,84.0,88.5,84.2,88.4,Exceeds
244,1114,2024,79.7,78.1,76.0,83.1,79.2,79.1,Meets
245,1115,2022,89.9,85.7,89.8,80.3,79.9,86.1,Exceeds
246,1115,2023,76.3,65.4,72.6,71.2,67.7,71.3,Needs Improvement
247,1115,2024,77.1,80.6,80.4,77.7,82.8,79.4,Meets
248,1117,2024,94.0,96.9,90.3,94.4,94.2,93.9,Outstanding
249,1118,2022,81.8,80.8,75.3,84.8,74.2,79.6,Meets
250,1118,2023,86.8,82.7,77.8,82.7,86.5,83.5,Meets
251,1118,2024,74.9,72.8,66.6,60.4,65.3,69.2,Needs Improvement
252,1119,2022,74.7,71.5,68.6,67.9,73.0,71.6,Needs Improvement
253,1119,2023,77.1,76.2,84.3,65.6,80.9,77.2,Meets
254,1119,2024,84.4,74.8,77.9,78.2,79.1,79.5,Meets
255,1120,2022,82.2,82.2,75.8,74.2,78.3,79.1,Meets
256,1120,2023,86.3,84.3,96.0,83.5,95.3,88.8,Exceeds
257,1120,2024,94.9,86.2,84.3,94.0,96.0,91.1,Outstanding
258,1121,2024,86.3,86.4,80.3,92.0,89.4,86.4,Exceeds
259,1122,2022,74.3,76.2,78.3,73.6,71.7,75.0,Meets
260,1122,2023,81.6,79.2,86.3,85.2,85.3,83.2,Meets
261,1122,2024,77.3,83.7,80.8,70.8,78.5,78.5,Meets
262,1123,2024,84.7,81.6,79.1,88.2,82.8,83.2,Meets
263,1124,2022,78.7,73.4,83.7,81.5,69.1,77.6,Meets
264,1124,2023,89.8,91.7,99.8,90.9,94.4,93.0,Outstanding
265,1124,2024,91.4,88.2,82.7,95.9,83.2,88.5,Exceeds
266,1125,2022,80.3,72.8,70.7,81.7,82.1,77.4,Meets
267,1125,2023,87.5,87.7,97.4,80.4,89.6,88.8,Exceeds
268,1125,2024,67.4,68.0,64.9,69.7,61.5,66.5,Needs Improvement
269,1126,2023,90.7,89.0,87.1,87.8,89.7,89.1,Exceeds
270,1126,2024,97.9,100.0,100.0,89.4,100.0,97.8,Outstanding
271,1127,2022,85.8,83.8,77.5,80.9,86.7,83.1,Meets
272,1127,2023,57.7,61.7,67.2,60.4,61.2,61.3,Needs Improvement
273,1127,2024,63.3,65.5,63.3,70.7,64.1,65.0,Needs Improvement
274,1128,2022,81.5,69.2,78.5,77.9,74.8,76.9,Meets
275,1128,2023,73.4,75.7,69.7,71.8,68.8,72.2,Needs Improvement
276,1128,2024,80.4,68.7,64.6,69.8,78.5,73.0,Needs Improvement
277,1129,2023,93.9,81.9,80.7,91.6,94.0,88.5,Exceeds
278,1129,2024,100.0,94.0,100.0,91.7,100.0,97.6,Outstanding
279,1130,2022,96.6,91.1,90.4,90.8,96.8,93.4,Outstanding
280,1130,2023,79.9,76.9,69.0,71.0,69.6,74.2,Needs Improvement
281,1130,2024,82.3,83.6,71.7,71.9,76.4,78.0,Meets
282,1131,2024,74.7,76.7,66.6,76.3,78.9,74.3,Needs Improvement
283,1132,2023,80.4,84.7,83.6,83.4,77.6,81.9,Meets
284,1132,2024,82.0,72.6,75.9,73.5,74.7,76.5,Meets
285,1133,2022,82.2,80.9,79.1,82.1,77.4,80.6,Meets
286,1133,2023,97.5,95.3,93.5,94.2,97.8,95.8,Outstanding
287,1133,2024,77.8,82.4,79.7,82.8,84.2,80.8,Meets
288,1134,2022,71.6,72.3,75.7,75.5,72.8,73.3,Needs Improvement
289,1134,2023,74.8,73.2,73.2,66.9,68.5,72.0,Needs Improvement
290,1134,2024,82.3,79.4,85.9,76.7,83.3,81.8,Meets
291,1135,2022,75.8,80.2,83.3,69.8,85.3,78.7,Meets
292,1135,2023,88.6,84.0,90.5,75.8,91.1,86.5,Exceeds
293,1135,2024,80.1,80.1,82.9,68.5,81.7,79.2,Meets
294,1136,2022,86.6,75.3,87.9,71.2,81.3,81.5,Meets
295,1136,2023,88.1,89.0,78.2,85.9,83.2,85.2,Exceeds
296,1136,2024,79.3,74.7,68.8,74.1,80.8,75.7,Meets
297,1137,2022,88.7,91.2,86.9,82.5,93.7,88.7,Exceeds
298,1137,2023,100.0,95.7,96.7,96.6,98.3,97.7,Outstanding
299,1137,2024,78.8,79.1,73.1,84.6,76.4,78.2,Meets
300,1138,2024,82.2,72.4,79.0,72.5,74.6,77.0,Meets
301,1139,2022,94.7,84.4,85.9,84.2,83.6,87.6,Exceeds
302,1139,2023,99.1,90.6,97.3,83.7,89.8,93.3,Outstanding
303,1139,2024,91.5,92.3,84.7,83.6,94.3,89.5,Exceeds
304,1140,2022,81.4,80.4,92.6,82.6,79.3,83.3,Meets
305,1140,2023,87.4,85.3,84.6,83.5,85.7,85.6,Exceeds
306,1140,2024,87.0,84.6,86.1,85.2,77.4,84.6,Meets
307,1141,2022,73.8,76.9,81.4,78.6,77.4,77.2,Meets
308,1141,2023,85.0,80.7,80.2,86.0,83.3,83.1,Meets
309,1141,2024,65.0,69.2,65.6,72.2,66.6,67.3,Needs Improvement
310,1142,2022,79.2,75.9,78.1,77.2,84.2,78.8,Meets
311,1142,2023,91.7,96.2,98.8,91.4,92.6,94.1,Outstanding
312,1142,2024,79.1,82.6,92.7,84.9,85.1,84.3,Meets
313,1144,2023,74.4,72.0,79.1,75.6,77.6,75.5,Meets
314,1144,2024,75.5,69.2,73.2,61.2,69.2,70.7,Needs Improvement
315,1145,2022,89.8,89.7,92.3,80.0,93.3,89.3,Exceeds
316,1145,2023,85.6,84.3,91.0,81.7,83.4,85.5,Exceeds
317,1145,2024,83.1,82.3,94.1,80.9,86.3,85.3,Exceeds
318,1146,2024,75.2,68.9,68.5,69.8,72.1,71.3,Needs Improvement
319,1147,2022,88.7,92.5,97.0,92.5,89.8,91.9,Outstanding
320,1147,2023,76.0,69.4,74.9,68.0,70.2,72.4,Needs Improvement
321,1147,2024,82.7,88.5,92.9,76.3,80.0,84.5,Meets
322,1148,2024,81.9,81.0,81.8,79.8,88.5,82.4,Meets
323,1149,2022,92.6,99.8,93.8,100.0,94.6,95.7,Outstanding
324,1149,2023,98.9,97.2,98.0,90.9,100.0,97.3,Outstanding
325,1149,2024,89.3,88.6,93.5,82.1,91.5,89.2,Exceeds
326,1150,2022,68.1,74.4,78.9,71.1,70.2,72.3,Needs Improvement
327,1150,2023,70.7,77.4,79.7,70.7,79.2,75.1,Meets
328,1150,2024,72.1,76.9,65.1,75.7,75.2,72.7,Needs Improvement
329,1151,2022,79.8,73.6,76.4,75.8,80.4,77.4,Meets
330,1151,2023,74.5,73.1,74.4,66.0,71.4,72.5,Needs Improvement
331,1151,2024,74.2,72.0,85.2,66.7,81.4,75.9,Meets
332,1153,2022,92.6,82.2,91.3,80.7,89.7,88.0,Exceeds
333,1153,2023,85.7,79.8,87.3,77.8,84.4,83.5,Meets
334,1153,2024,81.0,80.4,71.9,78.2,80.5,78.6,Meets
335,1154,2023,84.5,88.5,79.7,80.9,88.6,84.4,Meets
336,1154,2024,81.5,86.3,82.1,82.0,89.8,83.9,Meets
337,1155,2022,94.3,98.9,94.1,86.3,97.5,94.5,Outstanding
338,1155,2023,82.4,86.4,83.0,75.3,86.7,82.9,Meets
339,1155,2024,92.0,92.4,92.0,85.0,93.4,91.2,Outstanding
340,1156,2022,79.5,75.6,76.1,81.6,74.7,77.6,Meets
341,1156,2023,92.5,100.0,100.0,100.0,99.3,97.6,Outstanding
342,1156,2024,89.3,90.2,100.0,90.4,98.7,93.2,Outstanding
343,1157,2022,99.3,91.1,91.3,96.4,100.0,95.7,Outstanding
344,1157,2023,79.6,75.0,81.0,79.1,81.9,79.2,Meets
345,1157,2024,85.0,72.3,86.2,72.5,82.0,80.4,Meets
346,1159,2022,99.1,93.1,95.7,95.5,92.6,95.7,Outstanding
347,1159,2023,85.5,81.9,82.9,79.8,87.1,83.6,Meets
348,1159,2024,84.2,81.9,90.8,81.6,89.0,85.4,Exceeds
349,1160,2022,83.8,79.0,81.6,71.3,82.2,80.3,Meets
350,1160,2023,89.2,83.9,83.2,91.9,90.6,87.6,Exceeds
351,1160,2024,84.8,79.8,91.1,76.8,82.9,83.6,Meets
352,1161,2022,83.8,77.8,75.8,86.3,83.2,81.3,Meets
353,1161,2023,64.7,69.2,67.7,67.9,68.9,67.3,Needs Improvement
354,1161,2024,70.5,76.2,80.9,71.1,75.9,74.6,Needs Improvement
355,1162,2022,88.0,87.8,83.0,94.0,91.8,88.4,Exceeds
356,1162,2023,81.7,78.7,86.6,75.4,82.1,81.2,Meets
357,1162,2024,87.2,89.3,97.6,97.4,93.8,92.2,Outstanding
358,1163,2024,89.5,91.8,94.3,96.7,87.0,91.6,Outstanding
359,1164,2022,74.3,71.3,74.8,74.2,71.9,73.4,Needs Improvement
360,1164,2023,75.1,76.6,81.7,71.6,75.3,76.2,Meets
361,1164,2024,78.9,84.0,82.0,72.9,86.7,80.8,Meets
362,1165,2022,76.5,72.2,75.6,83.5,80.5,77.1,Meets
363,1165,2023,85.3,81.0,77.9,92.7,90.0,84.8,Meets
364,1165,2024,92.6,91.1,81.8,81.4,89.7,88.0,Exceeds
365,1166,2023,83.5,87.1,84.6,85.3,93.4,86.2,Exceeds
366,1166,2024,89.2,89.0,89.1,93.4,92.0,90.2,Outstanding
367,1167,2022,87.2,84.2,83.2,85.0,92.9,86.3,Exceeds
368,1167,2023,72.0,72.0,79.4,66.2,75.7,73.2,Needs Improvement
369,1167,2024,74.3,71.7,83.7,84.2,75.3,77.3,Meets
370,1168,2022,95.4,91.7,91.2,97.0,96.3,94.2,Outstanding
