attendance_id,employee_id,attendance_month,working_days,present_days,absent_days,late_days,leave_days,attendance_rate
72,1012,2024-11-01,22,20,1,4,1,90.91
73,1013,2024-06-01,22,22,0,1,0,100.0
74,1013,2024-07-01,21,19,1,1,1,90.48
75,1013,2024-08-01,21,20,0,2,1,95.24
76,1013,2024-09-01,21,15,6,0,0,71.43
77,1013,2024-10-01,21,21,0,2,0,100.0
78,1013,2024-11-01,21,19,2,1,0,90.48
79,1014,2024-06-01,22,16,6,2,0,72.73
80,1014,2024-07-01,23,21,2,1,0,91.3
81,1014,2024-08-01,22,21,0,1,1,95.45
82,1014,2024-09-01,22,22,0,1,0,100.0
83,1014,2024-10-01,22,20,0,3,2,90.91
84,1014,2024-11-01,22,21,0,4,1,95.45
85,1016,2024-06-01,20,15,3,2,2,75.0
86,1016,2024-07-01,23,23,0,4,0,100.0
87,1016,2024-08-01,20,18,2,3,0,90.0
88,1016,2024-09-01,23,18,5,2,0,78.26
89,1016,2024-10-01,22,21,1,0,0,95.45
90,1016,2024-11-01,23,23,0,3,0,100.0
91,1017,2024-06-01,23,22,0,4,1,95.65
92,1017,2024-07-01,20,19,0,3,1,95.0
93,1017,2024-08-01,23,21,0,1,2,91.3
94,1017,2024-09-01,21,20,1,0,0,95.24
95,1017,2024-10-01,22,22,0,1,0,100.0
96,1017,2024-11-01,20,20,0,4,0,100.0
97,1018,2024-06-01,23,23,0,1,0,100.0
98,1018,2024-07-01,23,22,0,0,1,95.65
99,1018,2024-08-01,20,18,2,0,0,90.0
100,1018,2024-09-01,21,21,0,1,0,100.0
101,1018,2024-10-01,21,20,0,0,1,95.24
102,1018,2024-11-01,22,18,2,2,2,81.82
103,1019,2024-06-01,22,22,0,4,0,100.0
104,1019,2024-07-01,21,21,0,1,0,100.0
105,1019,2024-08-01,21,19,2,0,0,90.48
106,1019,2024-09-01,20,20,0,4,0,100.0
107,1019,2024-10-01,21,19,2,2,0,90.48
108,1019,2024-11-01,21,19,0,3,2,90.48
109,1020,2024-06-01,20,20,0,1,0,100.0
110,1020,2024-07-01,21,20,1,3,0,95.24
111,1020,2024-08-01,23,22,0,4,1,95.65
112,1020,2024-09-01,22,21,0,2,1,95.45
113,1020,2024-10-01,20,18,0,3,2,90.0
114,1020,2024-11-01,23,22,1,3,0,95.65
115,1021,2024-06-01,20,20,0,1,0,100.0
116,1021,2024-07-01,20,20,0,0,0,100.0
117,1021,2024-08-01,23,23,0,0,0,100.0
118,1021,2024-09-01,21,21,0,2,0,100.0
119,1021,2024-10-01,23,21,2,3,0,91.3
120,1021,2024-11-01,20,20,0,1,0,100.0
121,1023,2024-06-01,21,19,0,4,2,90.48
122,1023,2024-07-01,23,22,1,4,0,95.65
123,1023,2024-08-01,21,21,0,1,0,100.0
124,1023,2024-09-01,20,20,0,1,0,100.0
125,1023,2024-10-01,21,21,0,1,0,100.0
126,1023,2024-11-01,21,21,0,4,0,100.0
127,1024,2024-06-01,22,22,0,2,0,100.0
128,1024,2024-07-01,20,19,0,0,1,95.0
129,1024,2024-08-01,22,22,0,0,0,100.0
130,1024,2024-09-01,22,22,0,2,0,100.0
131,1024,2024-10-01,21,21,0,2,0,100.0
132,1024,2024-11-01,23,23,0,4,0,100.0
133,1025,2024-06-01,21,21,0,2,0,100.0
134,1025,2024-07-01,20,20,0,4,0,100.0
135,1025,2024-08-01,21,20,0,0,1,95.24
136,1025,2024-09-01,22,21,0,1,1,95.45
137,1025,2024-10-01,21,20,0,4,1,95.24
138,1025,2024-11-01,22,22,0,4,0,100.0
139,1026,2024-06-01,20,20,0,2,0,100.0
140,1026,2024-07-01,22,21,0,2,1,95.45
141,1026,2024-08-01,20,20,0,3,0,100.0
142,1026,2024-09-01,21,19,0,1,2,90.48
143,1026,2024-10-01,20,17,1,3,2,85.0
144,1026,2024-11-01,20,18,1,4,1,90.0
145,1027,2024-10-01,22,21,0,3,1,95.45
146,1027,2024-11-01,22,20,2,2,0,90.91
147,1028,2024-08-01,21,19,1,2,1,90.48
148,1028,2024-09-01,20,19,0,1,1,95.0
149,1028,2024-10-01,21,19,2,1,0,90.48
150,1028,2024-11-01,22,20,0,2,2,90.91
151,1029,2024-06-01,22,22,0,0,0,100.0
152,1029,2024-07-01,22,21,1,2,0,95.45
153,1029,2024-08-01,20,18,1,3,1,90.0
154,1029,2024-09-01,23,21,2,4,0,91.3
155,1029,2024-10-01,22,20,1,4,1,90.91
156,1029,2024-11-01,23,23,0,1,0,100.0
157,1030,2024-06-01,23,23,0,2,0,100.0
158,1030,2024-07-01,21,21,0,3,0,100.0
159,1030,2024-08-01,22,20,0,1,2,90.91
160,1030,2024-09-01,21,19,2,2,0,90.48
161,1030,2024-10-01,21,21,0,1,0,100.0
162,1030,2024-11-01,23,19,2,2,2,82.61
163,1031,2024-06-01,21,21,0,0,0,100.0
164,1031,2024-07-01,22,21,0,1,1,95.45
165,1031,2024-08-01,20,18,1,1,1,90.0
166,1031,2024-09-01,20,20,0,2,0,100.0
167,1031,2024-10-01,21,20,0,4,1,95.24
168,1031,2024-11-01,23,21,1,0,1,91.3
169,1033,2024-06-01,23,21,0,3,2,91.3
170,1033,2024-07-01,22,20,1,1,1,90.91
171,1033,2024-08-01,20,18,0,0,2,90.0
172,1033,2024-09-01,23,21,2,0,0,91.3
173,1033,2024-10-01,20,19,0,4,1,95.0
174,1033,2024-11-01,20,18,0,2,2,90.0
175,1034,2024-06-01,21,19,0,3,2,90.48
176,1034,2024-07-01,22,20,2,0,0,90.91
177,1034,2024-08-01,22,22,0,0,0,100.0
178,1034,2024-09-01,23,23,0,0,0,100.0
179,1034,2024-10-01,22,22,0,2,0,100.0
180,1034,2024-11-01,21,15,5,0,1,71.43
181,1035,2024-06-01,22,22,0,3,0,100.0
182,1035,2024-07-01,20,19,0,1,1,95.0
183,1035,2024-08-01,20,15,4,0,1,75.0
184,1035,2024-09-01,21,19,0,4,2,90.48
185,1035,2024-10-01,23,23,0,3,0,100.0
186,1035,2024-11-01,20,19,0,0,1,95.0
187,1036,2024-06-01,22,20,2,2,0,90.91
188,1036,2024-07-01,20,20,0,2,0,100.0
189,1036,2024-08-01,20,20,0,3,0,100.0
190,1036,2024-09-01,20,20,0,1,0,100.0
191,1036,2024-10-01,23,22,1,0,0,95.65
192,1036,2024-11-01,20,19,1,3,0,95.0
193,1037,2024-06-01,20,19,0,1,1,95.0
194,1037,2024-07-01,22,21,1,3,0,95.45
195,1037,2024-08-01,22,17,3,3,2,77.27
196,1037,2024-09-01,21,20,1,0,0,95.24
197,1037,2024-10-01,20,19,1,1,0,95.0
198,1037,2024-11-01,21,17,3,0,1,80.95
199,1039,2024-06-01,22,20,0,1,2,90.91
200,1039,2024-07-01,22,20,0,3,2,90.91
201,1039,2024-08-01,20,19,0,4,1,95.0
202,1039,2024-09-01,21,21,0,3,0,100.0
203,1039,2024-10-01,20,20,0,4,0,100.0
204,1039,2024-11-01,21,19,2,2,0,90.48
205,1040,2024-06-01,20,13,5,4,2,65.0
206,1040,2024-07-01,20,18,0,3,2,90.0
207,1040,2024-08-01,20,18,2,1,0,90.0
208,1040,2024-09-01,23,22,0,0,1,95.65
209,1040,2024-10-01,22,21,0,1,1,95.45
210,1040,2024-11-01,22,22,0,2,0,100.0
211,1041,2024-06-01,20,19,0,1,1,95.0
212,1041,2024-07-01,23,21,1,4,1,91.3
213,1041,2024-08-01,23,22,0,0,1,95.65
214,1041,2024-09-01,20,17,3,4,0,85.0
215,1041,2024-10-01,21,20,1,2,0,95.24
216,1041,2024-11-01,21,15,5,3,1,71.43
217,1045,2024-06-01,23,23,0,3,0,100.0
218,1045,2024-07-01,23,23,0,3,0,100.0
219,1045,2024-08-01,20,20,0,0,0,100.0
220,1045,2024-09-01,21,21,0,1,0,100.0
221,1045,2024-10-01,21,21,0,3,0,100.0
222,1045,2024-11-01,21,17,2,1,2,80.95
223,1046,2024-06-01,23,21,1,1,1,91.3
224,1046,2024-07-01,20,20,0,2,0,100.0
225,1046,2024-08-01,20,19,0,3,1,95.0
226,1046,2024-09-01,20,18,1,4,1,90.0
227,1046,2024-10-01,23,23,0,4,0,100.0
228,1046,2024-11-01,22,18,2,0,2,81.82
229,1047,2024-06-01,21,19,1,3,1,90.48
230,1047,2024-07-01,23,22,1,4,0,95.65
231,1047,2024-08-01,23,23,0,4,0,100.0
232,1047,2024-09-01,22,16,4,3,2,72.73
233,1047,2024-10-01,23,21,1,2,1,91.3
234,1047,2024-11-01,20,20,0,0,0,100.0
235,1048,2024-06-01,22,22,0,4,0,100.0
236,1048,2024-07-01,20,20,0,4,0,100.0
237,1048,2024-08-01,21,19,0,4,2,90.48
238,1048,2024-09-01,20,19,0,2,1,95.0
239,1048,2024-10-01,22,20,0,2,2,90.91
240,1048,2024-11-01,20,19,1,3,0,95.0
241,1049,2024-06-01,20,19,1,1,0,95.0
242,1049,2024-07-01,20,20,0,0,0,100.0
243,1049,2024-08-01,20,19,0,4,1,95.0
244,1049,2024-09-01,21,19,1,4,1,90.48
245,1049,2024-10-01,20,20,0,3,0,100.0
246,1049,2024-11-01,22,20,2,0,0,90.91
247,1051,2024-06-01,23,22,0,0,1,95.65
248,1051,2024-07-01,20,19,0,1,1,95.0
249,1051,2024-08-01,20,19,0,1,1,95.0
250,1051,2024-09-01,21,21,0,4,0,100.0
251,1051,2024-10-01,21,20,1,1,0,95.24
252,1051,2024-11-01,20,19,0,4,1,95.0
253,1052,2024-06-01,23,22,0,3,1,95.65
254,1052,2024-07-01,22,21,1,2,0,95.45
255,1052,2024-08-01,21,19,1,2,1,90.48
256,1052,2024-09-01,21,21,0,0,0,100.0
257,1052,2024-10-01,20,19,0,0,1,95.0
258,1052,2024-11-01,20,18,2,0,0,90.0
259,1054,2024-06-01,20,16,4,4,0,80.0
260,1054,2024-07-01,21,20,1,3,0,95.24
261,1054,2024-08-01,20,18,2,4,0,90.0
262,1054,2024-09-01,23,21,0,4,2,91.3
263,1054,2024-10-01,22,21,0,0,1,95.45
264,1054,2024-11-01,20,19,0,2,1,95.0
265,1055,2024-06-01,22,22,0,1,0,100.0
266,1055,2024-07-01,22,20,1,0,1,90.91
267,1055,2024-08-01,23,23,0,1,0,100.0
268,1055,2024-09-01,23,22,1,3,0,95.65
269,1055,2024-10-01,20,15,3,0,2,75.0
270,1055,2024-11-01,21,21,0,1,0,100.0
271,1056,2024-06-01,22,21,0,2,1,95.45
272,1056,2024-07-01,21,19,0,4,2,90.48
273,1056,2024-08-01,22,20,1,2,1,90.91
274,1056,2024-09-01,21,19,0,3,2,90.48
275,1056,2024-10-01,22,20,2,4,0,90.91
276,1056,2024-11-01,20,18,1,4,1,90.0
277,1057,2024-06-01,23,21,1,2,1,91.3
278,1057,2024-07-01,22,20,2,3,0,90.91
279,1057,2024-08-01,21,19,0,0,2,90.48
280,1057,2024-09-01,20,19,0,1,1,95.0
281,1057,2024-10-01,23,22,0,1,1,95.65
282,1057,2024-11-01,20,20,0,2,0,100.0
283,1058,2024-06-01,21,21,0,1,0,100.0
284,1058,2024-07-01,22,22,0,3,0,100.0
285,1058,2024-08-01,22,22,0,3,0,100.0
286,1058,2024-09-01,20,20,0,3,0,100.0
287,1058,2024-10-01,23,23,0,4,0,100.0
288,1058,2024-11-01,23,20,2,3,1,86.96
289,1060,2024-06-01,22,20,1,4,1,90.91
290,1060,2024-07-01,21,21,0,2,0,100.0
291,1060,2024-08-01,23,23,0,1,0,100.0
292,1060,2024-09-01,22,20,2,2,0,90.91
293,1060,2024-10-01,22,22,0,1,0,100.0
294,1060,2024-11-01,23,23,0,2,0,100.0
295,1062,2024-06-01,23,22,0,0,1,95.65
296,1062,2024-07-01,20,19,0,4,1,95.0
297,1062,2024-08-01,23,23,0,3,0,100.0
298,1062,2024-09-01,22,22,0,4,0,100.0
299,1062,2024-10-01,21,20,0,1,1,95.24
300,1062,2024-11-01,20,19,0,0,1,95.0
301,1063,2024-06-01,20,18,0,3,2,90.0
302,1063,2024-07-01,23,23,0,0,0,100.0
303,1063,2024-08-01,21,21,0,2,0,100.0
304,1063,2024-09-01,20,18,2,4,0,90.0
305,1063,2024-10-01,22,22,0,1,0,100.0
306,1063,2024-11-01,21,19,0,0,2,90.48
307,1064,2024-06-01,22,20,1,1,1,90.91
308,1064,2024-07-01,22,17,5,4,0,77.27
309,1064,2024-08-01,21,17,2,2,2,80.95
310,1064,2024-09-01,20,20,0,4,0,100.0
311,1064,2024-10-01,23,22,0,0,1,95.65
312,1064,2024-11-01,20,20,0,2,0,100.0
313,1066,2024-06-01,23,21,0,3,2,91.3
314,1066,2024-07-01,20,19,0,1,1,95.0
315,1066,2024-08-01,21,21,0,1,0,100.0
316,1066,2024-09-01,22,22,0,0,0,100.0
317,1066,2024-10-01,23,23,0,2,0,100.0
318,1066,2024-11-01,23,23,0,2,0,100.0
319,1068,2024-06-01,21,20,0,1,1,95.24
320,1068,2024-07-01,23,22,1,3,0,95.65
321,1068,2024-08-01,21,19,1,3,1,90.48
322,1068,2024-09-01,23,22,1,2,0,95.65
323,1068,2024-10-01,23,17,4,2,2,73.91
324,1068,2024-11-01,20,19,1,0,0,95.0
325,1069,2024-06-01,20,18,2,2,0,90.0
326,1069,2024-07-01,23,23,0,2,0,100.0
327,1069,2024-08-01,23,22,0,1,1,95.65
328,1069,2024-09-01,23,22,0,2,1,95.65
329,1069,2024-10-01,20,19,0,0,1,95.0
330,1069,2024-11-01,22,22,0,2,0,100.0
331,1070,2024-06-01,20,18,0,1,2,90.0
332,1070,2024-07-01,23,21,1,2,1,91.3
333,1070,2024-08-01,21,19,1,3,1,90.48
334,1070,2024-09-01,22,21,0,2,1,95.45
335,1070,2024-10-01,22,21,1,1,0,95.45
336,1070,2024-11-01,22,20,0,1,2,90.91
337,1071,2024-06-01,23,22,0,1,1,95.65
338,1071,2024-07-01,23,21,2,1,0,91.3
339,1071,2024-08-01,20,19,0,0,1,95.0
340,1071,2024-09-01,22,21,0,3,1,95.45
341,1071,2024-10-01,22,20,0,1,2,90.91
342,1071,2024-11-01,20,13,5,3,2,65.0
343,1072,2024-06-01,23,21,2,3,0,91.3
344,1072,2024-07-01,20,20,0,4,0,100.0
345,1072,2024-08-01,22,22,0,3,0,100.0
346,1072,2024-09-01,20,19,0,4,1,95.0
347,1072,2024-10-01,21,19,1,1,1,90.48
348,1072,2024-11-01,20,18,0,3,2,90.0
349,1074,2024-06-01,21,20,0,1,1,95.24
350,1074,2024-07-01,22,15,6,4,1,68.18
351,1074,2024-08-01,20,19,0,4,1,95.0
352,1074,2024-09-01,23,21,0,4,2,91.3
353,1074,2024-10-01,20,19,0,1,1,95.0
354,1074,2024-11-01,22,22,0,1,0,100.0
355,1077,2024-08-01,22,21,1,0,0,95.45
356,1077,2024-09-01,22,21,1,3,0,95.45
357,1077,2024-10-01,20,19,1,3,0,95.0
358,1077,2024-11-01,21,15,6,3,0,71.43
359,1079,2024-06-01,23,23,0,4,0,100.0
360,1079,2024-07-01,23,22,1,1,0,95.65
361,1079,2024-08-01,20,20,0,3,0,100.0
362,1079,2024-09-01,23,21,2,3,0,91.3
363,1079,2024-10-01,21,19,0,3,2,90.48
364,1079,2024-11-01,23,22,1,0,0,95.65
365,1080,2024-06-01,21,20,0,1,1,95.24
366,1080,2024-07-01,21,20,0,4,1,95.24
367,1080,2024-08-01,23,21,1,0,1,91.3
368,1080,2024-09-01,23,23,0,2,0,100.0
369,1080,2024-10-01,22,22,0,3,0,100.0
370,1080,2024-11-01,22,22,0,1,0,100.0
371,1081,2024-06-01,20,20,0,1,0,100.0
372,1081,2024-07-01,22,22,0,1,0,100.0
373,1081,2024-08-01,22,22,0,3,0,100.0
374,1081,2024-09-01,20,19,0,4,1,95.0
375,1081,2024-10-01,21,21,0,0,0,100.0
376,1081,2024-11-01,22,22,0,0,0,100.0
377,1082,2024-06-01,23,22,0,3,1,95.65
378,1082,2024-07-01,23,21,2,0,0,91.3
379,1082,2024-08-01,21,20,0,2,1,95.24
380,1082,2024-09-01,21,21,0,2,0,100.0
381,1082,2024-10-01,21,21,0,2,0,100.0
382,1082,2024-11-01,21,19,0,1,2,90.48
383,1083,2024-06-01,20,16,3,2,1,80.0
384,1083,2024-07-01,23,21,2,2,0,91.3
385,1083,2024-08-01,22,21,0,0,1,95.45
386,1083,2024-09-01,21,20,1,2,0,95.24
387,1083,2024-10-01,23,21,2,2,0,91.3
388,1083,2024-11-01,21,21,0,1,0,100.0
389,1084,2024-06-01,22,21,1,3,0,95.45
390,1084,2024-07-01,23,21,0,1,2,91.3
391,1084,2024-08-01,23,23,0,2,0,100.0
392,1084,2024-09-01,22,20,0,0,2,90.91
393,1084,2024-10-01,20,20,0,3,0,100.0
394,1084,2024-11-01,23,21,2,0,0,91.3
395,1085,2024-06-01,23,23,0,1,0,100.0
396,1085,2024-07-01,22,20,2,0,0,90.91
397,1085,2024-08-01,20,20,0,3,0,100.0
398,1085,2024-09-01,22,20,0,2,2,90.91
399,1085,2024-10-01,20,18,1,4,1,90.0
400,1085,2024-11-01,21,14,5,1,2,66.67
401,1087,2024-06-01,23,23,0,1,0,100.0
402,1087,2024-07-01,20,20,0,4,0,100.0
403,1087,2024-08-01,21,19,2,0,0,90.48
404,1087,2024-09-01,22,20,0,2,2,90.91
405,1087,2024-10-01,22,21,0,0,1,95.45
406,1087,2024-11-01,23,23,0,3,0,100.0
407,1089,2024-06-01,20,20,0,0,0,100.0
408,1089,2024-07-01,20,19,0,2,1,95.0
409,1089,2024-08-01,23,23,0,1,0,100.0
410,1089,2024-09-01,20,19,1,1,0,95.0
411,1089,2024-10-01,23,18,4,2,1,78.26
412,1089,2024-11-01,21,19,2,0,0,90.48
413,1090,2024-06-01,22,21,0,4,1,95.45
414,1090,2024-07-01,21,19,1,4,1,90.48
415,1090,2024-08-01,20,18,0,0,2,90.0
416,1090,2024-09-01,20,19,1,3,0,95.0
417,1090,2024-10-01,23,21,0,1,2,91.3
418,1090,2024-11-01,20,19,0,2,1,95.0
419,1091,2024-06-01,21,21,0,0,0,100.0
420,1091,2024-07-01,20,18,2,0,0,90.0
421,1091,2024-08-01,20,18,2,3,0,90.0
422,1091,2024-09-01,20,19,1,4,0,95.0
423,1091,2024-10-01,22,22,0,2,0,100.0
424,1091,2024-11-01,23,23,0,4,0,100.0
425,1092,2024-06-01,23,20,2,1,1,86.96
426,1092,2024-07-01,22,20,2,2,0,90.91
427,1092,2024-08-01,21,20,0,1,1,95.24
428,1092,2024-09-01,22,20,0,4,2,90.91
429,1092,2024-10-01,20,19,0,3,1,95.0
430,1092,2024-11-01,20,19,0,2,1,95.0
431,1094,2024-06-01,22,22,0,3,0,100.0
432,1094,2024-07-01,21,20,1,2,0,95.24
433,1094,2024-08-01,23,21,1,0,1,91.3
434,1094,2024-09-01,20,18,2,2,0,90.0
435,1094,2024-10-01,21,19,2,1,0,90.48
436,1094,2024-11-01,20,19,0,3,1,95.0
437,1095,2024-06-01,20,18,1,1,1,90.0
438,1095,2024-07-01,20,19,0,4,1,95.0
439,1095,2024-08-01,23,21,2,2,0,91.3
440,1095,2024-09-01,21,21,0,0,0,100.0
441,1095,2024-10-01,20,18,0,4,2,90.0
442,1095,2024-11-01,21,19,0,2,2,90.48
443,1097,2024-06-01,23,23,0,4,0,100.0
444,1097,2024-07-01,20,20,0,3,0,100.0
445,1097,2024-08-01,23,23,0,0,0,100.0
446,1097,2024-09-01,22,20,1,4,1,90.91
447,1097,2024-10-01,22,22,0,0,0,100.0
448,1097,2024-11-01,23,22,0,0,1,95.65
449,1098,2024-06-01,21,21,0,4,0,100.0
450,1098,2024-07-01,22,22,0,0,0,100.0
451,1098,2024-08-01,22,19,1,0,2,86.36
452,1098,2024-09-01,21,19,1,0,1,90.48
453,1098,2024-10-01,23,23,0,2,0,100.0
454,1098,2024-11-01,22,20,2,1,0,90.91
455,1099,2024-06-01,21,19,2,0,0,90.48
456,1099,2024-07-01,22,22,0,2,0,100.0
457,1099,2024-08-01,21,20,1,2,0,95.24
458,1099,2024-09-01,22,21,0,0,1,95.45
459,1099,2024-10-01,21,19,0,4,2,90.48
460,1099,2024-11-01,23,20,1,1,2,86.96
461,1100,2024-06-01,21,21,0,2,0,100.0
462,1100,2024-07-01,20,19,1,0,0,95.0
463,1100,2024-08-01,20,19,0,1,1,95.0
464,1100,2024-09-01,21,19,2,4,0,90.48
465,1100,2024-10-01,23,23,0,3,0,100.0
466,1100,2024-11-01,20,19,0,4,1,95.0
467,1101,2024-06-01,22,20,0,0,2,90.91
468,1101,2024-07-01,20,16,2,1,2,80.0
469,1101,2024-08-01,21,21,0,3,0,100.0
470,1101,2024-09-01,23,22,0,2,1,95.65
471,1101,2024-10-01,23,23,0,1,0,100.0
472,1101,2024-11-01,21,20,1,2,0,95.24
473,1103,2024-06-01,21,20,1,1,0,95.24
474,1103,2024-07-01,20,19,0,4,1,95.0
475,1103,2024-08-01,20,20,0,4,0,100.0
476,1103,2024-09-01,20,18,1,0,1,90.0
477,1103,2024-10-01,22,20,2,3,0,90.91
478,1103,2024-11-01,21,20,0,3,1,95.24
479,1104,2024-06-01,21,19,0,3,2,90.48
480,1104,2024-07-01,21,21,0,2,0,100.0
481,1104,2024-08-01,20,19,0,3,1,95.0
482,1104,2024-09-01,20,19,1,4,0,95.0
483,1104,2024-10-01,22,20,1,1,1,90.91
484,1104,2024-11-01,23,21,1,1,1,91.3
485,1106,2024-06-01,21,21,0,4,0,100.0
486,1106,2024-07-01,22,20,1,1,1,90.91
487,1106,2024-08-01,20,20,0,4,0,100.0
488,1106,2024-09-01,20,19,1,3,0,95.0
489,1106,2024-10-01,22,20,0,1,2,90.91
490,1106,2024-11-01,22,21,0,2,1,95.45
491,1108,2024-06-01,23,23,0,0,0,100.0
492,1108,2024-07-01,22,21,1,2,0,95.45
493,1108,2024-08-01,21,18,3,2,0,85.71
494,1108,2024-09-01,20,20,0,0,0,100.0
495,1108,2024-10-01,21,15,5,2,1,71.43
496,1108,2024-11-01,21,21,0,3,0,100.0
497,1109,2024-06-01,20,19,0,4,1,95.0
498,1109,2024-07-01,21,20,0,0,1,95.24
499,1109,2024-08-01,21,19,1,4,1,90.48
500,1109,2024-09-01,23,21,1,4,1,91.3
501,1109,2024-10-01,23,22,0,4,1,95.65
502,1109,2024-11-01,23,22,1,0,0,95.65
503,1110,2024-06-01,21,20,0,3,1,95.24
504,1110,2024-07-01,22,21,0,1,1,95.45
505,1110,2024-08-01,23,23,0,4,0,100.0
506,1110,2024-09-01,23,23,0,0,0,100.0
507,1110,2024-10-01,20,19,0,2,1,95.0
508,1110,2024-11-01,20,19,0,1,1,95.0
509,1111,2024-06-01,21,18,3,3,0,85.71
510,1111,2024-07-01,20,20,0,2,0,100.0
511,1111,2024-08-01,21,19,2,1,0,90.48
512,1111,2024-09-01,20,20,0,0,0,100.0
513,1111,2024-10-01,23,23,0,3,0,100.0
514,1111,2024-11-01,23,22,0,4,1,95.65
515,1112,2024-06-01,23,20,3,4,0,86.96
516,1112,2024-07-01,22,22,0,2,0,100.0
517,1112,2024-08-01,23,22,1,1,0,95.65
518,1112,2024-09-01,20,19,1,2,0,95.0
519,1112,2024-10-01,22,20,1,0,1,90.91
520,1112,2024-11-01,21,21,0,3,0,100.0
521,1113,2024-06-01,21,20,0,4,1,95.24
522,1113,2024-07-01,22,20,0,1,2,90.91
523,1113,2024-08-01,23,18,4,4,1,78.26
524,1113,2024-09-01,23,23,0,0,0,100.0
525,1113,2024-10-01,22,21,0,0,1,95.45
526,1113,2024-11-01,20,19,0,2,1,95.0
527,1114,2024-06-01,22,22,0,3,0,100.0
528,1114,2024-07-01,22,20,1,1,1,90.91
529,1114,2024-08-01,22,22,0,4,0,100.0
530,1114,2024-09-01,21,20,1,2,0,95.24
531,1114,2024-10-01,22,21,0,3,1,95.45
532,1114,2024-11-01,20,18,2,3,0,90.0
533,1115,2024-06-01,20,18,1,3,1,90.0
534,1115,2024-07-01,21,20,0,2,1,95.24
