training_id,employee_id,training_name,training_category,training_date,training_score,certification_status
158,1076,Effective Communication,Soft Skills,2025-05-05,80.8,Certified
159,1076,Leading Through Change,Leadership,2024-02-29,74.8,In Progress
160,1077,Workplace Safety,Compliance,2024-03-06,86.2,Certified
161,1077,HR Business Partnering,Leadership,2024-02-22,87.4,Certified
162,1077,Advanced System Design,Technical,2023-12-16,79.6,Certified
163,1078,Leading Through Change,Leadership,2023-08-13,80.7,Certified
164,1078,Presentation Mastery,Soft Skills,2024-08-24,78.2,Certified
165,1078,Machine Learning Operations,Technical,2023-05-15,70.4,Certified
166,1079,Leading Through Change,Leadership,2024-06-07,99.0,Certified
167,1080,Coaching for Managers,Leadership,2023-03-25,79.7,Certified
168,1081,Negotiation Skills,Soft Skills,2024-07-25,80.1,Certified
169,1081,Effective Communication,Soft Skills,2024-08-16,88.6,In Progress
170,1081,Coaching for Managers,Leadership,2024-07-20,71.5,In Progress
171,1081,Workplace Safety,Compliance,2025-01-27,78.9,In Progress
172,1081,Anti-Bribery & Compliance,Compliance,2023-03-29,90.6,Certified
173,1082,Data Visualization with BI Tools,Technical,2024-12-26,87.9,Certified
174,1082,Advanced System Design,Technical,2024-02-03,91.6,Certified
175,1082,Leading Through Change,Leadership,2023-07-04,68.4,Not Certified
176,1083,Presentation Mastery,Soft Skills,2023-09-14,75.5,In Progress
177,1083,Workplace Safety,Compliance,2023-05-18,82.5,Certified
178,1083,Effective Communication,Soft Skills,2023-10-16,82.6,In Progress
179,1083,Machine Learning Operations,Technical,2023-04-24,67.2,Not Certified
180,1084,Data Visualization with BI Tools,Technical,2024-08-07,92.0,Certified
181,1084,Machine Learning Operations,Technical,2024-04-22,89.3,Certified
182,1085,Negotiation Skills,Soft Skills,2025-04-11,67.8,Not Certified
183,1085,Advanced System Design,Technical,2023-06-27,75.6,Certified
184,1085,Data Privacy Essentials,Compliance,2023-01-13,87.4,Certified
185,1085,Leading Through Change,Leadership,2023-07-31,75.7,In Progress
186,1085,Presentation Mastery,Soft Skills,2024-05-17,85.8,Certified
187,1087,Coaching for Managers,Leadership,2025-03-30,81.4,Certified
188,1087,Workplace Safety,Compliance,2023-01-02,77.2,Certified
189,1088,Advanced System Design,Technical,2023-01-19,84.9,Certified
190,1088,Effective Communication,Soft Skills,2025-02-09,78.3,Certified
191,1088,Presentation Mastery,Soft Skills,2024-12-27,91.5,Certified
192,1088,Data Visualization with BI Tools,Technical,2023-11-08,91.8,In Progress
193,1089,Coaching for Managers,Leadership,2025-05-09,91.0,Certified
194,1089,Data Visualization with BI Tools,Technical,2023-03-24,91.2,In Progress
195,1089,Effective Communication,Soft Skills,2023-01-14,89.2,Certified
196,1089,Leading Through Change,Leadership,2025-05-04,88.4,Certified
197,1090,Advanced System Design,Technical,2025-09-16,76.3,In Progress
198,1090,Negotiation Skills,Soft Skills,2024-11-08,92.4,Certified
199,1090,Coaching for Managers,Leadership,2024-12-28,88.6,Certified
200,1090,Time Management,Soft Skills,2023-04-07,85.0,Certified
201,1090,Workplace Safety,Compliance,2024-04-22,79.3,Certified
202,1091,Workplace Safety,Compliance,2024-10-14,78.0,Certified
203,1091,Advanced System Design,Technical,2024-02-06,75.9,Certified
204,1092,Workplace Safety,Compliance,2024-06-03,87.0,Certified
205,1092,HR Business Partnering,Leadership,2025-09-01,87.4,In Progress
206,1092,Anti-Bribery & Compliance,Compliance,2024-08-18,84.7,Certified
207,1093,Leading Through Change,Leadership,2024-09-17,89.8,In Progress
208,1093,Advanced System Design,Technical,2025-01-04,99.0,Certified
209,1094,Negotiation Skills,Soft Skills,2025-05-02,62.9,Not Certified
210,1095,Leading Through Change,Leadership,2023-12-20,67.9,Not Certified
211,1096,Data Visualization with BI Tools,Technical,2025-01-27,86.2,Certified
212,1096,Negotiation Skills,Soft Skills,2023-05-10,85.4,Certified
213,1096,Effective Communication,Soft Skills,2024-02-29,86.9,Certified
214,1097,Machine Learning Operations,Technical,2023-02-18,74.8,Certified
215,1097,Workplace Safety,Compliance,2023-02-25,87.8,Certified
216,1098,Data Privacy Essentials,Compliance,2024-04-12,68.2,Not Certified
217,1098,Anti-Bribery & Compliance,Compliance,2023-12-04,83.0,In Progress
218,1099,Presentation Mastery,Soft Skills,2025-03-25,78.0,Certified
219,1100,Machine Learning Operations,Technical,2024-06-03,73.2,Certified
220,1100,Data Privacy Essentials,Compliance,2025-07-20,93.3,Certified
221,1102,Leading Through Change,Leadership,2023-10-02,74.6,In Progress
222,1102,Machine Learning Operations,Technical,2023-09-09,77.5,Certified
223,1102,HR Business Partnering,Leadership,2024-03-27,79.3,Certified
224,1103,Leading Through Change,Leadership,2025-09-08,84.0,Certified
225,1103,Cloud Architecture Fundamentals,Technical,2023-04-22,94.9,In Progress
226,1104,Negotiation Skills,Soft Skills,2025-06-29,96.4,Certified
227,1104,Leading Through Change,Leadership,2024-07-29,84.6,Certified
228,1104,Presentation Mastery,Soft Skills,2024-08-17,78.7,Certified
229,1104,HR Business Partnering,Leadership,2025-01-28,82.9,Certified
230,1105,Anti-Bribery & Compliance,Compliance,2025-01-09,76.9,Certified
231,1105,Presentation Mastery,Soft Skills,2023-12-18,95.2,In Progress
232,1105,Coaching for Managers,Leadership,2023-01-17,69.9,In Progress
233,1105,Effective Communication,Soft Skills,2024-12-25,85.4,Certified
234,1106,Presentation Mastery,Soft Skills,2025-01-07,62.2,In Progress
235,1106,Machine Learning Operations,Technical,2023-05-26,75.0,Certified
236,1106,Effective Communication,Soft Skills,2024-07-31,87.1,Certified
237,1106,Leading Through Change,Leadership,2025-09-09,75.0,Certified
238,1107,Workplace Safety,Compliance,2024-08-16,61.7,Not Certified
239,1107,Time Management,Soft Skills,2023-02-01,82.6,In Progress
240,1107,Data Visualization with BI Tools,Technical,2024-01-28,78.6,In Progress
241,1107,Coaching for Managers,Leadership,2024-02-24,92.9,Certified
242,1107,Advanced System Design,Technical,2024-12-23,90.5,Certified
243,1108,Data Privacy Essentials,Compliance,2024-11-15,90.6,Certified
244,1108,Advanced System Design,Technical,2023-01-30,81.7,Certified
245,1109,Data Visualization with BI Tools,Technical,2023-06-11,85.4,Certified
246,1109,Negotiation Skills,Soft Skills,2025-02-15,80.6,Certified
247,1109,Effective Communication,Soft Skills,2025-05-22,91.5,In Progress
248,1109,Presentation Mastery,Soft Skills,2024-03-14,76.2,In Progress
249,1109,Data Privacy Essentials,Compliance,2023-07-24,90.6,Certified
250,1110,Data Visualization with BI Tools,Technical,2025-07-06,80.8,Certified
251,1110,HR Business Partnering,Leadership,2024-04-16,76.1,Certified
252,1110,Time Management,Soft Skills,2024-08-16,87.9,Certified
253,1111,Advanced System Design,Technical,2025-05-09,78.2,Certified
254,1111,Leading Through Change,Leadership,2024-08-26,76.0,Certified
255,1111,Coaching for Managers,Leadership,2023-09-24,74.4,Certified
256,1112,Anti-Bribery & Compliance,Compliance,2023-03-19,87.0,Certified
257,1112,Data Visualization with BI Tools,Technical,2024-08-27,72.0,Certified
258,1113,Leading Through Change,Leadership,2025-02-03,90.0,In Progress
259,1113,HR Business Partnering,Leadership,2025-02-12,94.5,Certified
260,1113,Coaching for Managers,Leadership,2024-06-13,79.4,Certified
261,1113,Data Privacy Essentials,Compliance,2023-03-01,90.3,Certified
262,1113,Negotiation Skills,Soft Skills,2023-12-05,80.3,Certified
263,1114,Machine Learning Operations,Technical,2024-03-08,89.0,Certified
264,1115,Coaching for Managers,Leadership,2025-03-07,90.1,In Progress
265,1115,Cloud Architecture Fundamentals,Technical,2024-07-31,79.5,Certified
266,1115,Leading Through Change,Leadership,2024-06-12,81.9,Certified
267,1115,HR Business Partnering,Leadership,2025-03-09,83.3,Certified
268,1116,Machine Learning Operations,Technical,2024-09-14,82.4,Certified
269,1117,Time Management,Soft Skills,2025-09-16,99.0,Certified
270,1117,Effective Communication,Soft Skills,2024-04-06,84.9,Certified
271,1117,Advanced System Design,Technical,2023-09-21,84.4,Certified
272,1117,Presentation Mastery,Soft Skills,2024-03-27,91.2,In Progress
273,1118,Effective Communication,Soft Skills,2025-04-19,78.8,Certified
274,1118,Data Visualization with BI Tools,Technical,2024-07-21,97.1,Certified
275,1118,Negotiation Skills,Soft Skills,2024-08-11,79.0,Certified
276,1118,HR Business Partnering,Leadership,2025-08-27,79.7,Certified
277,1118,Anti-Bribery & Compliance,Compliance,2023-05-27,73.6,Certified
278,1119,Advanced System Design,Technical,2023-10-28,77.7,Certified
279,1120,Negotiation Skills,Soft Skills,2024-01-03,76.1,Certified
280,1121,Machine Learning Operations,Technical,2023-07-21,80.4,Certified
281,1121,Presentation Mastery,Soft Skills,2024-08-14,82.4,Certified
282,1121,Workplace Safety,Compliance,2023-06-20,71.2,Certified
283,1122,HR Business Partnering,Leadership,2025-01-16,78.6,Certified
284,1122,Machine Learning Operations,Technical,2025-02-17,90.0,Certified
285,1122,Cloud Architecture Fundamentals,Technical,2024-11-26,82.8,In Progress
286,1123,Anti-Bribery & Compliance,Compliance,2023-02-07,76.0,In Progress
287,1123,Coaching for Managers,Leadership,2025-05-11,89.9,Certified
288,1124,Workplace Safety,Compliance,2025-03-10,81.7,Certified
289,1124,Leading Through Change,Leadership,2024-07-31,88.5,Certified
290,1124,Machine Learning Operations,Technical,2024-07-17,79.8,In Progress
291,1125,Anti-Bribery & Compliance,Compliance,2023-01-22,79.3,Certified
292,1126,Data Privacy Essentials,Compliance,2023-09-02,93.6,In Progress
293,1126,Data Visualization with BI Tools,Technical,2024-10-10,89.1,Certified
294,1127,Negotiation Skills,Soft Skills,2023-07-04,93.4,Certified
295,1127,Anti-Bribery & Compliance,Compliance,2025-06-17,76.1,Certified
296,1127,Effective Communication,Soft Skills,2024-04-28,87.2,Certified
297,1128,HR Business Partnering,Leadership,2023-08-16,72.6,Certified
298,1129,Presentation Mastery,Soft Skills,2023-03-21,78.3,Certified
299,1130,Data Privacy Essentials,Compliance,2024-05-20,73.9,In Progress
300,1130,Coaching for Managers,Leadership,2024-08-30,85.3,Certified
301,1130,Advanced System Design,Technical,2025-02-20,90.2,Certified
302,1130,Leading Through Change,Leadership,2025-06-14,91.5,Certified
303,1131,Cloud Architecture Fundamentals,Technical,2023-11-24,59.7,In Progress
304,1132,HR Business Partnering,Leadership,2023-09-01,77.6,Certified
305,1132,Advanced System Design,Technical,2023-01-14,81.4,In Progress
306,1132,Leading Through Change,Leadership,2024-03-24,80.8,In Progress
307,1132,Data Privacy Essentials,Compliance,2023-09-30,72.8,Certified
308,1133,Anti-Bribery & Compliance,Compliance,2023-12-16,82.6,Certified
309,1133,Negotiation Skills,Soft Skills,2025-08-03,82.0,Certified
310,1133,Cloud Architecture Fundamentals,Technical,2023-10-16,73.0,In Progress
311,1133,Coaching for Managers,Leadership,2024-12-15,74.7,Certified
312,1134,Effective Communication,Soft Skills,2023-11-20,78.2,Certified
313,1134,Presentation Mastery,Soft Skills,2023-12-30,83.0,Certified
314,1135,HR Business Partnering,Leadership,2024-11-25,89.4,Certified
315,1135,Time Management,Soft Skills,2025-05-26,87.6,Certified
316,1136,Effective Communication,Soft Skills,2024-12-25,68.2,Not Certified
317,1136,Coaching for Managers,Leadership,2025-02-19,89.4,Certified
318,1137,Presentation Mastery,Soft Skills,2025-03-17,88.3,Certified
319,1137,Machine Learning Operations,Technical,2023-11-24,83.8,Certified
320,1137,Leading Through Change,Leadership,2024-03-14,97.9,In Progress
321,1137,Coaching for Managers,Leadership,2024-10-26,80.1,Certified
322,1137,Anti-Bribery & Compliance,Compliance,2023-03-03,90.1,Certified
323,1138,Time Management,Soft Skills,2023-03-11,91.9,Certified
324,1138,Data Privacy Essentials,Compliance,2023-09-23,80.2,Certified
325,1138,Advanced System Design,Technical,2025-02-16,70.6,Certified
326,1139,Data Privacy Essentials,Compliance,2023-09-12,87.0,Certified
327,1139,Coaching for Managers,Leadership,2024-01-21,87.9,Certified
328,1140,Data Visualization with BI Tools,Technical,2025-03-07,78.8,Certified
329,1141,Cloud Architecture Fundamentals,Technical,2023-05-22,75.3,Certified
330,1141,Data Visualization with BI Tools,Technical,2025-02-26,99.0,Certified
331,1142,Advanced System Design,Technical,2025-01-09,96.1,Certified
332,1142,Leading Through Change,Leadership,2025-05-23,89.4,In Progress
333,1143,Negotiation Skills,Soft Skills,2025-04-23,73.9,Certified
334,1143,Cloud Architecture Fundamentals,Technical,2025-04-03,87.7,Certified
335,1144,HR Business Partnering,Leadership,2024-04-20,95.1,Certified
336,1146,Data Privacy Essentials,Compliance,2025-03-02,81.6,In Progress
337,1147,Effective Communication,Soft Skills,2025-09-08,70.7,In Progress
338,1148,Anti-Bribery & Compliance,Compliance,2025-09-02,81.2,Certified
339,1148,Coaching for Managers,Leadership,2023-01-26,86.3,In Progress
340,1148,Effective Communication,Soft Skills,2024-12-01,78.5,Certified
341,1149,Negotiation Skills,Soft Skills,2024-02-28,73.9,Certified
342,1149,HR Business Partnering,Leadership,2024-08-07,78.8,Certified
343,1149,Anti-Bribery & Compliance,Compliance,2025-03-26,87.2,Certified
344,1150,Cloud Architecture Fundamentals,Technical,2023-04-03,81.7,Certified
345,1150,Effective Communication,Soft Skills,2025-08-13,83.7,Certified
346,1150,Workplace Safety,Compliance,2023-05-23,69.5,Not Certified
347,1151,Effective Communication,Soft Skills,2023-07-09,91.1,In Progress
348,1151,Advanced System Design,Technical,2023-09-04,71.9,Certified
349,1152,HR Business Partnering,Leadership,2024-01-12,88.4,Certified
350,1152,Effective Communication,Soft Skills,2023-03-07,78.0,Certified
351,1152,Machine Learning Operations,Technical,2024-07-05,88.1,Certified
352,1153,Data Visualization with BI Tools,Technical,2025-06-30,72.8,Certified
353,1153,Machine Learning Operations,Technical,2023-07-27,82.9,Certified
354,1153,HR Business Partnering,Leadership,2024-06-01,90.1,Certified
355,1153,Advanced System Design,Technical,2024-11-14,87.3,Certified
356,1154,Workplace Safety,Compliance,2024-04-02,89.4,Certified
357,1154,Advanced System Design,Technical,2024-01-04,70.2,In Progress
358,1155,Coaching for Managers,Leadership,2024-10-31,75.6,In Progress
359,1155,Time Management,Soft Skills,2023-03-03,85.4,Certified
360,1156,Cloud Architecture Fundamentals,Technical,2025-07-17,86.0,In Progress
361,1156,Data Privacy Essentials,Compliance,2023-11-02,74.3,Certified
362,1157,Advanced System Design,Technical,2023-08-04,80.2,Certified
363,1157,Negotiation Skills,Soft Skills,2024-07-11,86.8,Certified
364,1158,Data Privacy Essentials,Compliance,2024-02-09,82.6,Certified
365,1158,Workplace Safety,Compliance,2024-02-07,66.0,Not Certified
366,1159,Coaching for Managers,Leadership,2023-09-07,85.4,Certified
367,1161,Coaching for Managers,Leadership,2024-06-10,69.0,Not Certified
368,1161,Advanced System Design,Technical,2023-08-30,84.5,Certified
369,1161,Machine Learning Operations,Technical,2023-11-16,93.7,In Progress
370,1162,Data Privacy Essentials,Compliance,2023-10-16,77.8,In Progress
371,1162,Time Management,Soft Skills,2025-04-06,71.8,In Progress
372,1162,HR Business Partnering,Leadership,2023-09-18,77.1,Certified
373,1163,Effective Communication,Soft Skills,2024-02-02,82.5,Certified
374,1163,Data Visualization with BI Tools,Technical,2023-08-29,85.5,In Progress
375,1163,Negotiation Skills,Soft Skills,2024-06-20,83.0,Certified
376,1163,Advanced System Design,Technical,2024-01-07,73.6,Certified
377,1164,HR Business Partnering,Leadership,2023-06-05,75.0,In Progress
378,1164,Machine Learning Operations,Technical,2025-07-05,80.5,Certified
379,1164,Presentation Mastery,Soft Skills,2024-10-11,79.2,Certified
380,1164,Advanced System Design,Technical,2024-06-07,80.6,Certified
381,1165,Coaching for Managers,Leadership,2025-02-04,94.6,In Progress
382,1165,Machine Learning Operations,Technical,2025-01-27,84.9,Certified
383,1166,Advanced System Design,Technical,2024-10-14,87.2,Certified
384,1166,Cloud Architecture Fundamentals,Technical,2024-03-28,77.8,Certified
385,1166,Coaching for Managers,Leadership,2024-06-07,81.1,Certified
386,1167,Workplace Safety,Compliance,2025-07-12,93.7,Certified
387,1167,Machine Learning Operations,Technical,2024-03-02,80.8,Certified
388,1167,Effective Communication,Soft Skills,2024-10-03,84.9,In Progress
389,1167,Coaching for Managers,Leadership,2024-04-26,72.0,Certified
390,1168,Data Visualization with BI Tools,Technical,2023-02-27,82.5,Certified
391,1168,Cloud Architecture Fundamentals,Technical,2023-06-06,94.4,Certified
392,1168,Machine Learning Operations,Technical,2025-03-03,69.5,Not Certified
393,1168,Coaching for Managers,Leadership,2025-01-30,76.8,Certified
394,1169,Presentation Mastery,Soft Skills,2024-04-16,81.2,Certified
395,1172,Negotiation Skills,Soft Skills,2023-12-21,78.6,Certified
396,1172,Anti-Bribery & Compliance,Compliance,2025-05-10,85.4,Certified
